Date,Price,Open,High,Low,Vol,Co,Hl,Ind,Rvn,Gap,Gaug,rVol,Tckr
2003-12-17,1.3266,1.326,1.3356,1.3232,0.0,0.04524886877828038,0.9371221281741171,95.17150780907895,0.022619316896621555,-0.022619316896632657,27.419354838710312,NaN,CAD
2003-12-18,1.332,1.3255,1.3328,1.3225,0.0,0.49038098830631593,0.7788279773156992,37.03603329756358,0.4070556309362372,-0.08291873963516272,92.2330097087387,NaN,CAD
2003-12-19,1.3379,1.3322,1.3419,1.3295,0.0,0.4278636841315242,0.932681459195206,54.12542193122183,0.44294294294293657,0.015015015015018562,67.74193548387143,NaN,CAD
2003-12-22,1.3303,1.3367,1.338,1.3285,0.0,-0.4787910525921979,0.715092209258561,33.044851224343574,-0.5680544136333121,-0.08969280215262998,18.947368421052754,NaN,CAD
2003-12-23,1.3212,1.3305,1.3319,1.3192,0.0,-0.6989853438556959,0.9627046694966834,27.393585384691654,-0.684056227918528,0.01503420281139256,15.748031496062813,NaN,CAD
2003-12-24,1.307,1.3211,1.3226,1.3039,0.0,-1.0672924078419466,1.4341590612777066,25.580611198657067,-1.0747805025734136,-0.00756887677868523,16.577540106951286,NaN,CAD
2003-12-25,1.3093,1.3066,1.3132,1.3039,0.0,0.20664319608143522,0.7132448807423808,71.02773512144233,0.17597551644987774,-0.03060443764345555,58.06451612903149,NaN,CAD
2003-12-26,1.3097,1.3093,1.3113,1.3034,0.0,0.030550675933715965,0.6061071044959343,94.95952518835375,0.030550675933715965,0.0,79.74683544304025,NaN,CAD
2003-12-29,1.309,1.3112,1.315,1.3049,0.0,-0.1677852348993314,0.7740056709326426,78.3224798989964,-0.05344735435597325,0.11453004504846653,40.59405940594053,NaN,CAD
2003-12-30,1.2942,1.3092,1.3125,1.2909,0.0,-1.14573785517873,1.6732512200790195,31.52625012730471,-1.1306340718105323,0.015278838808252537,15.277777777778105,NaN,CAD
2003-12-31,1.2972,1.2941,1.3005,1.2836,0.0,0.23954872111890957,1.3166095356808905,81.80563677939445,0.23180343069075793,-0.007726781023020823,80.47337278106451,NaN,CAD
2004-01-01,1.296,1.2972,1.2972,1.2813,0.0,-0.09250693802034249,1.240927183329421,92.54533712670026,-0.09250693802034249,0.0,92.45283018867998,NaN,CAD
2004-01-02,1.2925,1.2943,1.298,1.2862,0.0,-0.13907131267867356,0.917431192660545,84.84122691802449,-0.2700617283950657,-0.1311728395061773,53.38983050847419,NaN,CAD
2004-01-05,1.2812,1.2865,1.2889,1.2773,0.0,-0.4119704624951481,0.9081656619431389,54.63708002197709,-0.8742746615087116,-0.4642166344294041,33.62068965517111,NaN,CAD
2004-01-06,1.2866,1.2808,1.2872,1.2766,0.0,0.45284197376640467,0.8303305655647852,45.462446819793435,0.421479862628793,-0.031220730565095778,94.33962264151003,NaN,CAD
2004-01-07,1.2895,1.2868,1.2922,1.2841,0.0,0.2098228162884741,0.6307919943929541,66.73660760542813,0.22540027980726407,0.015544846883264185,66.66666666666758,NaN,CAD
2004-01-08,1.2787,1.2892,1.2949,1.2755,0.0,-0.8144585789636949,1.5209721677773347,46.45144755318567,-0.8375339278790306,-0.02326483132998325,16.494845360824186,NaN,CAD
2004-01-09,1.2737,1.2783,1.2832,1.2681,0.0,-0.35985292967221083,1.1907578266698193,69.779503303488,-0.39102213185265855,-0.03128177054820824,37.08609271523238,NaN,CAD
2004-01-12,1.2761,1.2714,1.2769,1.2685,0.0,0.3696712285669257,0.6621994481671223,44.175243638434736,0.188427416189052,-0.18057627384784336,90.47619047619148,NaN,CAD
2004-01-13,1.271,1.2756,1.2784,1.269,0.0,-0.36061461273128037,0.7407407407407529,51.31702728127795,-0.39965519943578887,-0.039181882297623094,21.2765957446807,NaN,CAD
2004-01-14,1.2895,1.2714,1.2913,1.2706,0.0,1.4236274972471374,1.6291515819297997,12.615405893613051,1.45554681353266,0.03147128245477582,91.30434782608789,NaN,CAD
2004-01-15,1.2958,1.2896,1.2992,1.2861,0.0,0.48076923076922906,1.0185833138947054,52.80020551967064,0.4885614579294373,0.007754943776649981,74.0458015267185,NaN,CAD
2004-01-16,1.2984,1.2955,1.3022,1.2926,0.0,0.22385179467385719,0.7426891536438163,69.85928856297618,0.20064824818644134,-0.023151720944591947,60.41666666666662,NaN,CAD
2004-01-19,1.3015,1.2991,1.3043,1.2985,0.0,0.18474328381188343,0.4466692337312228,58.63980102935628,0.23875539125077783,0.05391250770176992,51.724137931036196,NaN,CAD
2004-01-20,1.2915,1.3015,1.3032,1.2847,0.0,-0.76834421820976,1.4400249085389616,46.64368556032019,-0.76834421820976,0.0,36.75675675675759,NaN,CAD
2004-01-21,1.2998,1.2915,1.304,1.2864,0.0,0.6426635694928295,1.3681592039801016,53.02713546616054,0.6426635694928295,0.0,76.13636363636382,NaN,CAD
2004-01-22,1.2946,1.2991,1.3056,1.2926,0.0,-0.3463936571472481,1.0057248955593456,65.55781221319003,-0.40006154793045257,-0.05385443914449617,15.384615384615254,NaN,CAD
2004-01-23,1.3117,1.2951,1.3193,1.2937,0.0,1.2817543046869107,1.9788204375048135,35.226345938536284,1.3208713116020565,0.038621968175500676,70.31250000000048,NaN,CAD
2004-01-26,1.3125,1.3147,1.3162,1.3083,0.0,-0.16733855632463657,0.6038370404341631,72.28746414689648,0.06098955553861529,0.22871083326978514,53.16455696202496,NaN,CAD
2004-01-27,1.3063,1.3122,1.3164,1.3039,0.0,-0.44962658131382227,0.958662474116112,53.09855204999252,-0.47238095238094635,-0.02285714285713558,19.19999999999973,NaN,CAD
2004-01-28,1.3263,1.3062,1.3287,1.3053,0.0,1.538814882866335,1.792691335325225,14.161749290366954,1.5310418739952647,-0.007655209369972216,89.74358974358996,NaN,CAD
2004-01-29,1.33,1.3261,1.336,1.3238,0.0,0.29409546791343555,0.9215893639522577,68.08823111280276,0.27897157505842873,-0.015079544597751404,50.81967213114745,NaN,CAD
2004-01-30,1.3237,1.3297,1.3353,1.3193,0.0,-0.4512296006618066,1.2127643447282566,62.79329924042965,-0.47368421052631504,-0.022556390977446217,27.50000000000111,NaN,CAD
2004-02-02,1.3363,1.3257,1.3424,1.3241,0.0,0.7995775816549644,1.3820708405709592,42.14641115468118,0.9518773135906988,0.15109163707789364,66.66666666666667,NaN,CAD
2004-02-03,1.3355,1.337,1.3382,1.3277,0.0,-0.11219147344802005,0.790841304511547,85.81365530505344,-0.05986679637807191,0.05238344683080598,74.28571428571277,NaN,CAD
2004-02-04,1.3335,1.3366,1.3438,1.3311,0.0,-0.23193176717043462,0.9540981143415284,75.69099407239658,-0.14975664545113787,0.08236615499812583,18.897637795275028,NaN,CAD
