Date,Price,Tckr,Rvn,Title,Freq,Units,Adjustment,LastUpdt,Popularity,Since,Notes
2018-11-05,2.24,SOFR,-0.444444444444435,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-06,2.22,SOFR,-0.8928571428571435,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-07,2.18,SOFR,-1.8018018018018032,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-08,2.21,SOFR,1.3761467889908165,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-09,2.2,SOFR,-0.4524886877827958,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-13,2.2,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-14,2.2,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-15,2.28,SOFR,3.636363636363619,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-16,2.26,SOFR,-0.8771929824561412,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-19,2.24,SOFR,-0.8849557522123707,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-20,2.2,SOFR,-1.785714285714287,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-21,2.18,SOFR,-0.9090909090909097,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-23,2.23,SOFR,2.293577981651368,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-26,2.2,SOFR,-1.345291479820619,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-27,2.19,SOFR,-0.454545454545465,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-28,2.19,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-29,2.24,SOFR,2.2831050228310628,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-30,2.28,SOFR,1.7857142857142672,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-03,2.23,SOFR,-2.192982456140343,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-04,2.27,SOFR,1.793721973094172,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-06,2.34,SOFR,3.0837004405286272,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-07,2.3,SOFR,-1.7094017094017109,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-10,2.22,SOFR,-3.4782608695652013,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-11,2.19,SOFR,-1.3513513513513624,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-12,2.2,SOFR,0.4566210045662206,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-13,2.21,SOFR,0.4545454545454448,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-14,2.21,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-17,2.31,SOFR,4.524886877828059,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-18,2.32,SOFR,0.4329004329004236,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-19,2.3,SOFR,-0.8620689655172422,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-20,2.41,SOFR,4.782608695652188,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-21,2.4,SOFR,-0.4149377593361091,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-24,2.41,SOFR,0.4166666666666763,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-26,2.44,SOFR,1.2448132780082906,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-27,2.44,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-28,2.46,SOFR,0.8196721311475417,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-31,3,SOFR,21.951219512195124,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,3.15,SOFR,4.9999999999999964,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-03,2.7,SOFR,-14.285714285714276,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-04,2.45,SOFR,-9.25925925925926,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-07,2.41,SOFR,-1.632653061224491,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-08,2.42,SOFR,0.41493775933609073,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-09,2.45,SOFR,1.2396694214876136,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-10,2.43,SOFR,-0.8163265306122455,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-11,2.41,SOFR,-0.8230452674897125,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-14,2.4,SOFR,-0.4149377593361091,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-15,2.46,SOFR,2.500000000000002,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-16,2.43,SOFR,-1.2195121951219432,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-17,2.41,SOFR,-0.8230452674897125,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-18,2.42,SOFR,0.41493775933609073,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-22,2.41,SOFR,-0.41322314049585895,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-23,2.4,SOFR,-0.4149377593361091,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-24,2.41,SOFR,0.4166666666666763,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-25,2.4,SOFR,-0.4149377593361091,NA,NA,NA,NA,NA,NA,NA,NA
